,experiment,timestep,mean episodic length,mean episodic returns,mean episodic runtime,std episodic returns
0,experiment,708400,200.0,-934.9634469342944,0.03623093258250843,161.2840093339954
0,experiment,710600,200.0,-952.2680182617358,0.037104671651666817,96.23138255963397
0,experiment,712800,200.0,-973.3346588430835,0.03917397152293812,100.91310538080629
0,experiment,715000,200.0,-983.9719443543416,0.036138209429654206,201.13725954860467
0,experiment,717200,200.0,-918.4545655277271,0.03590031103654341,134.96481770463606
0,experiment,719400,200.0,-892.0267272971046,0.03637006066062234,151.95576870630188
0,experiment,721600,200.0,-913.0509170554469,0.03614852645180442,122.95438705174358
0,experiment,723800,200.0,-869.7819321390875,0.036956375295465645,107.50489820227469
0,experiment,726000,200.0,-893.2920811611945,0.03959224440834739,177.1345827579028
0,experiment,728200,200.0,-957.225579681508,0.03635194084861062,181.96231789891235
0,experiment,730400,200.0,-937.8760100258941,0.036060701717029915,111.65268581390704
0,experiment,732600,200.0,-972.3389361959876,0.03729193860834295,158.4244804003756
0,experiment,734800,200.0,-931.5138173606173,0.037552074952559036,130.6108606200961
0,experiment,737000,200.0,-932.9513205729946,0.037061301144686615,146.60900710462153
0,experiment,739200,200.0,-864.6281890740079,0.03954016078602184,59.30872738632896
