,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,765600,200.0,-942.0624452085004,99.96918429991074
0,experiment,767800,200.0,-913.2149121699957,130.64371736274305
0,experiment,770000,200.0,-863.2739453223938,144.88298634757393
0,experiment,772200,200.0,-840.0422475868577,87.6192489096886
0,experiment,774400,200.0,-906.2012217262468,146.46338568870613
0,experiment,776600,200.0,-875.1511855132743,55.73714894177817
0,experiment,778800,200.0,-865.4173016466982,109.60145734804244
0,experiment,781000,200.0,-856.5727073740295,117.2026061043582
0,experiment,783200,200.0,-873.6113301509748,104.03721623305567
0,experiment,785400,200.0,-945.6563574896124,102.11338266045217
0,experiment,787600,200.0,-906.0063906900341,101.6079885490785
0,experiment,789800,200.0,-838.8605595335749,125.88387140868355
0,experiment,792000,200.0,-800.1772914581535,105.43538661680465
0,experiment,794200,200.0,-826.3684269047789,74.80808799921066
0,experiment,796400,200.0,-923.7788657219509,120.93757199512763
0,experiment,798600,200.0,-856.4697012721609,134.7277153323896
0,experiment,800800,200.0,-885.7210795774164,152.93288448046968
0,experiment,803000,200.0,-873.4087201227344,137.1379637154539
0,experiment,805200,200.0,-934.5644476171702,120.17952901686549
0,experiment,807400,200.0,-917.8768300595474,188.0103045778772
0,experiment,809600,200.0,-854.2004666957163,118.06930383927097
0,experiment,811800,200.0,-859.7425367328473,142.53312889325653
0,experiment,814000,200.0,-870.3744688976439,130.92422395202917
0,experiment,816200,200.0,-843.3289792440489,103.38166828100708
0,experiment,818400,200.0,-835.8377248991796,116.47506401913188
0,experiment,820600,200.0,-837.8729400067775,172.73208362704992
0,experiment,822800,200.0,-859.1108377027335,113.01114373686266
0,experiment,825000,200.0,-875.2810090049638,99.75995331317091
0,experiment,827200,200.0,-868.8845215969678,157.13437583379238
0,experiment,829400,200.0,-815.3559614860928,89.64788861293427
0,experiment,831600,200.0,-847.7937577725608,67.26896669242207
0,experiment,833800,200.0,-889.9112251894531,104.01395050125686
0,experiment,836000,200.0,-900.0769195027685,125.7056082524945
0,experiment,838200,200.0,-875.8913088964156,128.4823749804969
0,experiment,840400,200.0,-882.3973839345358,125.33120883274084
0,experiment,842600,200.0,-844.4253190243039,51.51924641655746
0,experiment,844800,200.0,-863.6835435669186,132.74814217581553
0,experiment,847000,200.0,-921.9664034931939,90.58824855802058
0,experiment,849200,200.0,-879.9903981154778,101.83404883746935
0,experiment,851400,200.0,-887.1850791320896,104.25290034049101
0,experiment,853600,200.0,-858.376379887456,69.82377073000319
0,experiment,855800,200.0,-856.0847226260622,97.33729398086037
0,experiment,858000,200.0,-870.2940426942357,85.93477991855448
0,experiment,860200,200.0,-877.2162686913852,129.58880355293488
0,experiment,862400,200.0,-878.8089529095305,152.1962356221027
0,experiment,864600,200.0,-891.8140428758394,131.86015761809594
0,experiment,866800,200.0,-821.8109803270144,134.04755547514486
0,experiment,869000,200.0,-836.5974088313778,85.15244943229033
0,experiment,871200,200.0,-911.3532935796505,106.65802334449813
0,experiment,873400,200.0,-841.4880554350814,103.60637535081838
0,experiment,875600,200.0,-889.4239993546041,83.76131402837095
0,experiment,877800,200.0,-781.9035897504797,89.76971599115082
0,experiment,880000,200.0,-833.3713745238948,84.4145176947733
0,experiment,882200,200.0,-858.9691780821084,88.04801903591867
0,experiment,884400,200.0,-833.4543527138444,117.49360820132007
0,experiment,886600,200.0,-857.0780067335982,71.57094639191735
0,experiment,888800,200.0,-876.0951894317005,122.32225160691272
0,experiment,891000,200.0,-839.1627939728565,72.74467336589285
0,experiment,893200,200.0,-842.1984696972781,119.36057922915207
0,experiment,895400,200.0,-917.7643696429401,91.84368637488242
0,experiment,897600,200.0,-870.2791450052554,135.13028812147732
0,experiment,899800,200.0,-818.1563568940596,132.03486937600871
0,experiment,902000,200.0,-780.0946176158087,110.91014712492328
0,experiment,904200,200.0,-753.9060842366002,118.3636421289593
0,experiment,906400,200.0,-845.31907279265,124.47097649022982
0,experiment,908600,200.0,-809.9515002865435,103.0937183885927
0,experiment,910800,200.0,-870.0783683255631,136.55290102351057
0,experiment,913000,200.0,-893.7850593745443,96.95564449160953
0,experiment,915200,200.0,-894.0558170629,124.78117543683202
0,experiment,917400,200.0,-895.4421748569683,77.671125826207
0,experiment,919600,200.0,-861.2039352442754,77.06671476948654
0,experiment,921800,200.0,-859.5408865810058,104.61919136198341
0,experiment,924000,200.0,-810.7991599378835,137.22701002005917
0,experiment,926200,200.0,-854.306071309229,148.93897135731214
0,experiment,928400,200.0,-865.47210902189,132.9142125124844
0,experiment,930600,200.0,-844.7853502262918,142.12373223042792
0,experiment,932800,200.0,-795.2601956625623,110.27883988782199
0,experiment,935000,200.0,-786.241399561832,73.84942257571144
0,experiment,937200,200.0,-854.2458539553531,124.87900370373615
0,experiment,939400,200.0,-856.0841123373197,132.07489863375972
0,experiment,941600,200.0,-805.2150807160762,97.37428293043097
0,experiment,943800,200.0,-810.4658719731914,109.68309024122871
0,experiment,946000,200.0,-906.5763447029319,108.7495878740382
0,experiment,948200,200.0,-806.0989640512834,82.46025518024952
0,experiment,950400,200.0,-798.9209005584802,85.46854838471886
0,experiment,952600,200.0,-821.9292341892939,68.43704308914387
0,experiment,954800,200.0,-866.6032107319319,96.5245098587422
0,experiment,957000,200.0,-855.2639384843355,151.4189822423629
0,experiment,959200,200.0,-784.9422574321194,125.51998309626151
0,experiment,961400,200.0,-794.1689416990587,109.35790432698478
0,experiment,963600,200.0,-873.4761108826402,108.8266867644132
0,experiment,965800,200.0,-842.248058167189,133.30544012729777
0,experiment,968000,200.0,-875.15742134407,142.86300275844718
0,experiment,970200,200.0,-795.0792736985242,85.4587057544644
0,experiment,972400,200.0,-850.9736057703186,133.11115121039722
0,experiment,974600,200.0,-922.5547176975066,109.72357786165007
0,experiment,976800,200.0,-816.5540441984398,87.21288913143471
0,experiment,979000,200.0,-827.5637092803986,99.5601319840405
0,experiment,981200,200.0,-808.2710643996041,106.88028264907824
0,experiment,983400,200.0,-854.834684460417,151.58061709610809
0,experiment,985600,200.0,-845.9632954985536,40.80156937818223
0,experiment,987800,200.0,-823.8543044695244,112.6205929268111
0,experiment,990000,200.0,-823.6527419373205,95.78250903819188
0,experiment,992200,200.0,-812.1995984869353,95.72207165303968
0,experiment,994400,200.0,-841.9281758879098,134.14007837623691
0,experiment,996600,200.0,-770.4357973826496,70.62929046890436
0,experiment,998800,200.0,-779.6432162570524,117.67029406024231
0,experiment,1001000,200.0,-803.9108090913734,83.0796813672645
